ERROR(38) | 2019-7-29 11:3:33 | A scene needs to be created before calling saten_run(). (Failed to access the SoundFont /usr/share/sounds/sf2/FluidR3_GM.sf2)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:50 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:51 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:52 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:53 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 11:51:54 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:20 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:21 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:21 | Failed copying texture to renderer. (Invalid texture)
ERROR(16) | 2019-8-2 14:12:21 | Failed copying texture to renderer. (Invalid texture)
